project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,DEVELOPMENT OF ADIQUATE ROAD CONNECTIVITY TO CHENNAI-,Road Transport And Highways,Not reported,2013,2022-12-31,600.0,338.04,33.27574263197771,-43.66,76.9357426319777,2131.9886796536794,3500,-1368.0113203463206,1,1
,KRISHNANAGAR-BERHAMPUR,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,702.16,784.03,17.423815274615283,11.659735672781133,5.764079601834149,1794.638152958153,3105,-1310.361847041847,1,1
,SRINAGAR TO BANIHAL,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,1100.7,2986.32,11.987744017554503,171.31098391932406,-159.32323990176957,1250.5840181031092,3135,-1884.4159818968908,1,1
,"180 TMTPA NEW LPG PLANT AT PATALGANGA(DIST RAIGAD),",Koyali-Manmad-Ahmednagar-Solapur Pipeline (Indian Oil,Not reported,2020,2023-01-31,249.26,278.49,-13.271050120721249,11.726711064751672,-24.99776118547292,433.2444588744589,974,-540.7555411255411,1,1
,ADDITIONAL FACILITIES AT SOLAPUR FOR CONVERSION TO TOP ON,Its Extension Upto Patna And Muzaffarpur           (Indian Oil,Not reported,2021,2023-01-31,348.0,300.86,-12.473688371063501,-13.545977011494248,1.072288640430747,424.9721645021645,760,-335.0278354978355,1,1
,AUGMENTATION OF MATHURA-TUNDLA PIPELINE AND ITS,Maharashtra                         (Hindustan Petroleum,Not reported,2022,2023-01-31,676.0,621.05,-15.74233832577838,-8.128698224852078,-7.613640100926302,467.49441017316013,183,284.49441017316013,1,1
,AUGMENTATION OF PARADIP-HALDIA-DURGAPUR LPG PIPELINE AND,Production Unit(Mops)                    (Oil & Natural Gas,Not reported,2021,2023-01-31,1823.0,2494.42,-24.689937879367694,36.83049917718048,-61.520437056548175,100.37074134199132,701,-600.6292586580087,1,1
,CONSTRUCTION OF ROAD APPROACHES TO RAIL-CUM-ROAD,Carriageway With Paved Shoulder Including Geo,Not reported,2020,2023-01-31,235.48,226.67,-17.280371468755312,-3.741294377441822,-13.53907709131349,537.4085119047617,1066,-528.5914880952383,1,1
,CONVERSION OF RIG SAGAR SAMRAT TO MOBILE OFFSHORE,Petroleum,Not reported,2013,2023-01-31,861.79,1681.69,22.53771398852925,95.13918704092646,-72.60147305239721,2151.612132034631,3562,-1410.387867965369,1,1
,REHABILITATION AND UP GRADATION OF EXISTING 2-LANE TO 4-,Bridge Across River Ganga At Munger Ghat Near Munge,Not reported,2021,2023-01-31,564.66,452.72,-5.378696276931403,-19.82431905925689,14.445622782325486,547.1152489177489,548,-0.884751082251114,1,1
,REHABILITATION SIX LANING UPGRADATION CHANDIKHOLE,Lane Standards To End Of Kamakhyanagar Bypas,Not reported,2021,2023-01-31,1522.0,636.05,-24.37679974874242,-58.2095926412615,33.83279289251908,104.16278679653676,609,-504.83721320346325,1,1
,WIDENING AND STRENFTHENING OF EXISITNG SL IL TO 2 LANE,Road Transport And Highways,Not reported,2016,2023-01-31,191.5,183.94,-35.10623183176979,-3.947780678851176,-31.158451152918616,907.9384956709956,2466,-1558.0615043290045,1,1
,CREATING INFRASTRUCTURE AT GUJARAT REFINERY AND DUMAD,Petroleum,Not reported,2020,2023-02-28,906.0,453.07,-24.892199746917765,-49.992273730684325,25.10007398376656,307.1211958874458,1123,-815.8788041125542,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Road Transport And Highways,Not reported,2018,2023-02-28,771.18,792.0,-12.50012870211732,2.6997588111724955,-15.199887513289816,551.7958766233767,1825,-1273.2041233766233,1,1
,KEROSENE HYDROTREATER (KHT) UNIT INTEGRATED WITH,For Koyali Ahmednagar Solapur Pipeline         (Indian Oil,Not reported,2023,2023-02-28,697.0,538.45,-15.044071732884785,-22.747489239598274,7.703417506713489,463.2947889610389,0,463.2947889610389,1,0
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc Mode                         Epc(Ministry Of Road,Not reported,2016,2023-02-28,171.96,108.0,-40.00972496390035,-37.1946964410328,-2.81502852286755,708.5694967532465,2463,-1754.4305032467535,1,1
,WIDNG WITH PS AND STRNG FROM KM.0.00 TO 50.675 OF NH-730A,Pkg-I)                         (National Highways Authority Of,Not reported,2015,2023-02-28,164.54,141.33,-34.74203097350034,-14.105992463838568,-20.636038509661773,602.7473863636363,2768,-2165.2526136363635,1,1
,FOUR LANING OF TRICHY TO KALLAGAM SECTION ON NH-227 IN THE,Road Transport And Highways,Not reported,2021,2023-03-31,1166.26,444.08,-19.268910909577578,-61.92272735067653,42.653816441098954,480.67506493506517,788,-307.32493506493483,1,1
,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH,Facilities At Baitalpur Depot For                (Indian Oil,Not reported,2020,2023-04-30,598.0,679.2,-13.586039063986908,13.57859531772576,-27.164634381712666,562.4466883116881,1184,-621.5533116883119,1,1
,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF,Petroleum,Not reported,2021,2023-04-30,318.8,224.25,-8.37754132035765,-29.65809284818068,21.28055152782303,371.30137445887453,637,-265.69862554112547,1,1
,KAILASHAHAR TO KHOWAI PKG-2,Highways And Infrastructure Development Corporation,Not reported,2022,2023-05-31,206.78,197.72,-31.865617565324794,-4.3814682271012675,-27.484149338223524,522.0257413419913,334,188.0257413419913,1,1
,DOUBLING OF TRACK BETWEEN GOOTY AND DHARMAVARAM OF,Railways,Not reported,2021,2023-06-30,636.38,1081.75,2.275393807897902,69.98491467362268,-67.70952086572478,469.83925865800853,851,-381.16074134199147,1,1
,CONSTRUCTION OF A NEW 2-LANE HIGHWAY FROM KM 0.00 (ON NH-,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2023-08-31,195.04,415.11,3.445342206476069,112.83326497128796,-109.38792276481189,3922.432424242425,4717,-794.567575757575,1,1
,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2019,2023-08-31,396.86,325.22,-47.212596284136396,-18.05170589124628,-29.160890392890117,774.1952435064935,1460,-685.8047564935065,1,1
,WIDENING TO 2LPS FROM 173/37 TO 229/40 OF NH-59 IN THE STATE,To Boudh) In The State Of Odisha        (Ministry Of Road,Not reported,2018,2023-08-31,214.23,179.48,-52.978472379354606,-16.220884096531766,-36.75758828282284,273.785827922078,1856,-1582.214172077922,1,1
,WIDENING TO 2LPS FROM 58/00 TO 116/10 OF NH-153B (NAKTIDEUL,Shoulder Configuration Of Nandakumar-Contai-Chan,Not reported,2018,2023-08-31,206.88,123.5,-63.32501000371748,-40.30355761794277,-23.021452385774708,201.86018939393944,1978,-1776.1398106060606,1,1
,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (1A,Flexible Pavement On Khalghat To Sarwardewla Road,Not reported,2022,2023-09-30,167.95,84.16,-40.4314091436986,-49.889848169097945,9.458439025399343,340.11509199134207,486,-145.88490800865793,1,1
,CONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS WITH,Bot (Toll)(Ministry Of Road Transport And Highways (State,Not reported,2021,2023-09-30,264.5,215.21,-11.501758096430867,-18.635160680529296,7.1334025840984285,414.0578354978356,943,-528.9421645021644,1,1
,MANGAWA-MP/UP BORDER SECTION OF NH-27 (4L) IN MP,Road Transport And Highways,Not reported,2015,2023-09-30,410.72,392.45,-16.507584324781572,-4.448285936891322,-12.05929838789025,802.14147005772,3104,-2301.8585299422803,1,1
,2-LANING FROM MANU-SIMLUNG ( PKG III),Madhapur) In The State Of Odisha            (Ministry Of Road,Not reported,2022,2023-11-30,347.36,224.48,-12.537613278044567,-35.37540304007371,22.83778976202914,428.0850432900433,698,-269.9149567099567,1,1
,DABOKA KATHKATI PACKAGE-2,Epc(National Highways And Infrastructure Development,Not reported,2024,2023-11-30,335.88,220.39,-17.568183779672275,-34.38430391806598,16.816120138393707,380.3781493506494,0,380.3781493506494,1,0
,DABOKA KATHKATI PACKAGE-4,Epc(National Highways And Infrastructure Development,Not reported,2023,2023-11-30,260.07,290.49,-13.357676947723396,11.696850847848662,-25.054527795572056,418.6960497835498,0,418.6960497835498,1,1
,KAILASHAHAR TO KHOWAI PKG-3,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,280.91,202.06,-11.804326610242452,-28.069488448257456,16.265161838015004,432.7357142857143,517,-84.26428571428568,1,1
,KAILASHAHAR TO KHOWAI PKG-5,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,332.14,148.07,-16.050500179544713,-55.419401457216836,39.36890127767212,379.9251190476191,517,-137.0748809523809,1,1
,KHELLANI-KHANABAL PKG-6,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,285.28,218.89,-11.254114791922646,-23.271873247335947,12.0177584554133,412.8172294372295,455,-42.182770562770486,1,1
,WIDENING TO 2LPS FROM 50/0 TO 140/9 OF NH-57 (SONEPUR TO,Highways And Infrastructure Development Corporation,Not reported,2017,2023-11-30,295.67,242.48,-18.351101229746142,-17.9896506240065,-0.36145060573964116,1223.8844155844163,2493,-1269.1155844155837,1,1
,DEVELOPMENT OF NELP BLOCK KG-ONN-2003/1 NAGAYALANKA,Petroleum,Not reported,2023,2023-12-31,284.79,258.16,-8.355075257345417,-9.350749675199268,0.9956744178538504,399.89295454545464,213,186.89295454545464,1,1
,BALANCE WORK UNDER PHASE-I FOR 4L OF KHED SINNER SECTION,Epc(National Highways And Infrastructure Development,Not reported,2022,2024-02-29,169.83,207.89,-39.80940688090143,22.410645940057687,-62.22005282095911,343.75706168831175,516,-172.24293831168825,1,1
,CATALYST MANUFACTURING UNIT OF 1500 MTPA CAPACITY AT,Petroleum,Not reported,2020,2024-02-29,206.63,284.95,-33.615737250708904,37.90349900788849,-71.5192362585974,285.6885389610389,1489,-1203.3114610389612,1,1
,CONST OF 152 QTRS 240 BOYS 240 GIRLS 150 NURSES HOSTEL,Health And Family Welfare,Not reported,2020,2024-02-29,195.0,179.67,-26.651030142580765,-7.861538461538468,-18.789491681042296,293.43733225108224,1276,-982.5626677489178,1,1
,DEMBUEN - BRUNI,Highways And Infrastructure Development Corporation,Not reported,2023,2024-02-29,606.63,281.69,-14.504450524789528,-53.56477589304848,39.06032536825895,641.0504329004331,365,276.05043290043307,1,1
,JIA BHARALI BRIDGE ALONG WITH ITS APPROACH ROAD,Epc(National Highways And Infrastructure Development,Not reported,2023,2024-02-29,804.0,575.92,-15.610913811843982,-28.368159203980102,12.75724539213612,347.59370129870115,212,135.59370129870115,1,1
,INSTALLATION OF SECOND CATALYTIC DEWAXING UNIT (CDW-II) AT,Petroleum,Not reported,2023,2024-03-31,1019.0,776.55,-25.13480849738246,-23.79293424926399,-1.3418742481184687,338.14781385281384,455,-116.85218614718616,1,1
,KARGIL-ZANSKR PACKAGE-5,Road Transport And Highways,Not reported,2023,2024-03-31,169.79,200.8,-38.84607784544716,18.26373755816009,-57.10981540360726,553.2943614718615,121,432.2943614718615,1,1
,REPLACEMENT OF EXISTING TWIN 42” OFFSHORE PIPELINES AT,Haldia Refinery                     (Indian Oil Corporation,Not reported,2022,2024-03-31,1378.0,1150.99,-21.720043721318923,-16.47387518142235,-5.246168539896573,204.1187283549784,486,-281.88127164502157,1,1
